---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|DATE_TIME        |WEEK   |DAY|DATE_     |TIME    |HOUR|EVENT                             |WAITED_SECONDS|WAITED_MINUTES|WAITED_HOURS|ACTIVE_SESSIONS|WAITS  |AVG_MS    |INST_ID|OBJECT_NAMES                                                                                                                                               |
|2019-05-09  07 ->|2019-19|Thu|2019-05-09|07:00:00|07  |enq: TX - row lock contention     |         1.564|            26|.43         |.43            |551886 |2.83      |      1|NRIV,550174,100%                                                                                                                                           |
|2019-05-09  07 ->|2019-19|Thu|2019-05-09|07:00:00|07  |CPU                               |         1.555|            26|.43         |.43            |       |          |      1|/BIC/DZRTABR90B~01,3982992,7%;/BIC/AZRTABW0100~0,3233184,6%;/BIC/B0001904000,3196064,6%;/BIC/AZRTABA0100,3185168,6%                                        |
|2019-05-09  07 ->|2019-19|Thu|2019-05-09|07:00:00|07  |OTHER                             |           743|            12|.21         |.21            |       |          |      1|                                                                                                                                                           |
|2019-05-09  06 ->|2019-19|Thu|2019-05-09|06:00:00|06  |direct path read                  |         4.149|            69|1.15        |1.15           |125517 |33.06     |      1|/BIC/FZFIGLR08,733964,7%;/BIC/FZFIGLR08,591752,6%;/BIC/FZFIGLR08,567966,5%;/BIC/FZFIGLR08,530502,5%;/BIC/FZFIGLR08,530488,5%                               |
|2019-05-09  06 ->|2019-19|Thu|2019-05-09|06:00:00|06  |CPU                               |         1.071|            18|.3          |.3             |       |          |      1|EDIDC,1559648,10%                                                                                                                                          |
|2019-05-09  06 ->|2019-19|Thu|2019-05-09|06:00:00|06  |OTHER                             |           776|            13|.22         |.21            |       |          |      1|                                                                                                                                                           |
|2019-05-09  06 ->|2019-19|Thu|2019-05-09|06:00:00|06  |log file sync                     |           672|            11|.19         |.19            |95020  |7.07      |      1|NRIV,197024,33%;SEG$,34128,6%                                                                                                                              |
|2019-05-09  06 ->|2019-19|Thu|2019-05-09|06:00:00|06  |log buffer space                  |           485|             8|.13         |.13            |1059   |457.83    |      1|                                                                                                                                                           |
|2019-05-09  05 ->|2019-19|Thu|2019-05-09|05:00:00|05  |direct path read                  |        10.226|           170|2.84        |2.83           |291865 |35.04     |      1|/BIC/FZFIGLR07,2076046,14%;/BIC/FZFIGLR07,1339058,9%;/BIC/FZFIGLR07,1283758,9%;/BIC/FZFIGLR07,1271410,9%;/BIC/FZFIGLR07,1234268,8%                         |
|2019-05-09  05 ->|2019-19|Thu|2019-05-09|05:00:00|05  |log file sync                     |         9.947|           166|2.76        |2.75           |413443 |24.06     |      1|/BIC/AZFIGLD2000~0,3302672,31%;NRIV,900096,9%;/BIC/B0001847000,632064,6%;/BIC/AZFIGLD2000,566992,5%;/BIC/AZFIGLD2040,554176,5%                             |
